"src(partition,col,length,network,diameter=1000)","dest(partition,col,length,network,diameter=1000)",network
"('1', 0, 1, 1000)","('1', 1, 1, 1000)",1
"('1', 1, 1, 1000)","('8', 0, 1, 1000)",1
"('1', 2, 1, 1000)","('1', 1, 1, 1000)",1
"('1', 4, 1, 1000)","('8', 0, 1, 1000)",1
"('1', 5, 1, 1000)","('1', 4, 1, 1000)",1
"('1', 6, 1, 1000)","('1', 1, 1, 1000)",1
"('1', 7, 1, 1000)","('8', 0, 1, 1000)",1
"('1', 8, 1, 1000)","('8', 0, 1, 1000)",1
"('1', 9, 1, 1000)","('8', 0, 1, 1000)",1
"('1', 10, 1, 1000)","('1', 9, 1, 1000)",1
"('1', 11, 1, 1000)","('1', 8, 1, 1000)",1
"('1', 13, 1, 1000)","('1', 1, 1, 1000)",1
"('1', 14, 1, 1000)","('1', 4, 1, 1000)",1
"('1', 15, 1, 1000)","('8', 0, 1, 1000)",1
"('1', 16, 1, 1000)","('1', 4, 1, 1000)",1
"('1', 17, 1, 1000)","('1', 6, 1, 1000)",1
"('1', 18, 1, 1000)","('1', 11, 1, 1000)",1
"('1', 19, 1, 1000)","('8', 0, 1, 1000)",1
"('1', 20, 1, 1000)","('8', 0, 1, 1000)",1
"('1', 21, 1, 1000)","('8', 0, 1, 1000)",1
"('1', 22, 1, 1000)","('1', 9, 1, 1000)",1
"('1', 23, 1, 1000)","('1', 1, 1, 1000)",1
"('1', 24, 1, 1000)","('1', 10, 1, 1000)",2
"('1', 25, 1, 1000)","('1', 24, 1, 1000)",2
"('1', 26, 1, 1000)","('1', 1, 1, 1000)",3
"('1', 27, 1, 1000)","('1', 9, 1, 1000)",3
"('1', 28, 1, 1000)","('1', 1, 1, 1000)",3
"('1', 29, 1, 1000)","('1', 6, 1, 1000)",3
"('1', 30, 1, 1000)","('1', 1, 1, 1000)",3
"('1', 31, 1, 1000)","('1', 14, 1, 1000)",3
"('1', 32, 1, 1000)","('1', 1, 1, 1000)",3
"('1', 33, 1, 1000)","('1', 25, 1, 1000)",4
"('1', 34, 1, 1000)","('1', 27, 1, 1000)",4
"('1', 35, 1, 1000)","('1', 25, 1, 1000)",4
"('1', 36, 1, 1000)","('1', 10, 1, 1000)",4
"('1', 37, 1, 1000)","('1', 29, 1, 1000)",8
"('1', 38, 1, 1000)","('1', 10, 1, 1000)",8
"('1', 39, 1, 1000)","('1', 1, 1, 1000)",9
"('1', 40, 1, 1000)","('1', 29, 1, 1000)",11
"('1', 41, 1, 1000)","('1', 9, 1, 1000)",12
"('3', 1, 1, 1000)","('16', 33, 1, 1000)",5
"('3', 2, 1, 1000)","('1', 33, 1, 1000)",11
"('3', 4, 1, 1000)","('16', 33, 1, 1000)",14
"('3', 5, 1, 1000)","('3', 1, 1, 1000)",14
"('4', 6, 1, 1000)","('4', 30, 1, 1000)",5
"('4', 14, 1, 1000)","('4', 5, 1, 1000)",9
"('4', 19, 1, 1000)","('4', 17, 1, 1000)",10
"('4', 21, 1, 1000)","('1', 38, 1, 1000)",10
"('4', 22, 1, 1000)","('4', 21, 1, 1000)",10
"('4', 24, 1, 1000)","('4', 5, 1, 1000)",10
"('4', 27, 1, 1000)","('4', 5, 1, 1000)",10
"('4', 28, 1, 1000)","('4', 17, 1, 1000)",10
"('4', 30, 1, 1000)","('4', 4, 1, 1000)",11
"('4', 31, 1, 1000)","('4', 8, 1, 1000)",14
"('4', 33, 1, 1000)","('4', 15, 1, 1000)",14
"('4', 34, 1, 1000)","('4', 21, 1, 1000)",14
"('8', 0, 1, 1000)","('1', 1, 1, 1000)",1
"('8', 3, 1, 1000)","('8', 0, 1, 1000)",1
"('8', 4, 1, 1000)","('8', 0, 1, 1000)",1
"('8', 5, 1, 1000)","('8', 0, 1, 1000)",1
"('8', 6, 1, 1000)","('1', 23, 1, 1000)",4
"('8', 9, 1, 1000)","('8', 17, 1, 1000)",5
"('8', 13, 1, 1000)","('8', 10, 1, 1000)",5
"('8', 15, 1, 1000)","('8', 12, 1, 1000)",5
"('8', 16, 1, 1000)","('8', 12, 1, 1000)",5
"('8', 18, 1, 1000)","('8', 0, 1, 1000)",5
"('8', 20, 1, 1000)","('8', 9, 1, 1000)",5
"('8', 21, 1, 1000)","('8', 9, 1, 1000)",5
"('8', 22, 1, 1000)","('8', 16, 1, 1000)",6
"('8', 23, 1, 1000)","('8', 0, 1, 1000)",6
"('8', 24, 1, 1000)","('8', 0, 1, 1000)",6
"('8', 25, 1, 1000)","('8', 22, 1, 1000)",6
"('8', 26, 1, 1000)","('8', 4, 1, 1000)",8
"('8', 27, 1, 1000)","('1', 9, 1, 1000)",8
"('8', 28, 1, 1000)","('8', 0, 1, 1000)",8
"('8', 29, 1, 1000)","('1', 23, 1, 1000)",8
"('8', 30, 1, 1000)","('8', 0, 1, 1000)",8
"('8', 31, 1, 1000)","('8', 0, 1, 1000)",8
"('8', 32, 1, 1000)","('8', 0, 1, 1000)",8
"('8', 33, 1, 1000)","('8', 0, 1, 1000)",9
"('8', 34, 1, 1000)","('1', 23, 1, 1000)",9
"('8', 35, 1, 1000)","('1', 23, 1, 1000)",11
"('8', 36, 1, 1000)","('8', 6, 1, 1000)",11
"('8', 37, 1, 1000)","('8', 0, 1, 1000)",12
"('8', 38, 1, 1000)","('8', 0, 1, 1000)",12
"('8', 39, 1, 1000)","('8', 0, 1, 1000)",12
"('8', 40, 1, 1000)","('8', 0, 1, 1000)",12
"('8', 41, 1, 1000)","('1', 1, 1, 1000)",12
"('8', 42, 1, 1000)","('8', 0, 1, 1000)",12
"('10', 4, 1, 1000)","('10', 3, 1, 1000)",13
"('10', 5, 1, 1000)","('16', 9, 1, 1000)",13
"('10', 7, 1, 1000)","('10', 2, 1, 1000)",14
"('10', 8, 1, 1000)","('16', 5, 1, 1000)",14
"('10', 9, 1, 1000)","('10', 2, 1, 1000)",14
"('11', 2, 1, 1000)","('11', 14, 1, 1000)",5
"('11', 13, 1, 1000)","('11', 8, 1, 1000)",5
"('11', 16, 1, 1000)","('11', 2, 1, 1000)",5
"('11', 17, 1, 1000)","('11', 2, 1, 1000)",5
"('11', 18, 1, 1000)","('11', 2, 1, 1000)",5
"('11', 20, 1, 1000)","('11', 2, 1, 1000)",5
"('11', 21, 1, 1000)","('11', 9, 1, 1000)",5
"('11', 22, 1, 1000)","('11', 8, 1, 1000)",5
"('11', 25, 1, 1000)","('1', 26, 1, 1000)",8
"('11', 27, 1, 1000)","('11', 28, 1, 1000)",8
"('11', 28, 1, 1000)","('11', 25, 1, 1000)",8
"('11', 29, 1, 1000)","('11', 7, 1, 1000)",8
"('11', 30, 1, 1000)","('11', 8, 1, 1000)",8
"('11', 31, 1, 1000)","('11', 32, 1, 1000)",8
"('11', 32, 1, 1000)","('11', 26, 1, 1000)",8
"('11', 35, 1, 1000)","('11', 7, 1, 1000)",8
"('11', 36, 1, 1000)","('1', 26, 1, 1000)",8
"('11', 37, 1, 1000)","('11', 8, 1, 1000)",9
"('11', 39, 1, 1000)","('1', 2, 1, 1000)",9
"('11', 42, 1, 1000)","('1', 26, 1, 1000)",9
"('11', 44, 1, 1000)","('11', 8, 1, 1000)",9
"('11', 46, 1, 1000)","('11', 9, 1, 1000)",9
"('11', 47, 1, 1000)","('11', 2, 1, 1000)",14
"('12', 12, 1, 1000)","('12', 14, 1, 1000)",5
"('16', 1, 1, 1000)","('8', 0, 1, 1000)",6
"('16', 3, 1, 1000)","('8', 9, 1, 1000)",7
"('16', 4, 1, 1000)","('8', 17, 1, 1000)",7
"('16', 5, 1, 1000)","('8', 17, 1, 1000)",7
"('16', 6, 1, 1000)","('8', 0, 1, 1000)",7
"('16', 8, 1, 1000)","('8', 0, 1, 1000)",7
"('16', 10, 1, 1000)","('16', 5, 1, 1000)",7
"('16', 11, 1, 1000)","('8', 17, 1, 1000)",7
"('16', 12, 1, 1000)","('1', 13, 1, 1000)",7
"('16', 13, 1, 1000)","('1', 6, 1, 1000)",7
"('16', 14, 1, 1000)","('8', 0, 1, 1000)",7
"('16', 15, 1, 1000)","('8', 0, 1, 1000)",7
"('16', 16, 1, 1000)","('8', 0, 1, 1000)",7
"('16', 17, 1, 1000)","('16', 1, 1, 1000)",7
"('16', 18, 1, 1000)","('8', 0, 1, 1000)",7
"('16', 21, 1, 1000)","('8', 0, 1, 1000)",7
"('16', 23, 1, 1000)","('16', 1, 1, 1000)",7
"('16', 24, 1, 1000)","('16', 1, 1, 1000)",7
"('16', 25, 1, 1000)","('8', 0, 1, 1000)",7
"('16', 26, 1, 1000)","('8', 0, 1, 1000)",7
"('16', 27, 1, 1000)","('16', 1, 1, 1000)",7
"('16', 28, 1, 1000)","('1', 13, 1, 1000)",7
"('16', 29, 1, 1000)","('8', 0, 1, 1000)",7
"('16', 30, 1, 1000)","('1', 13, 1, 1000)",7
"('16', 31, 1, 1000)","('16', 1, 1, 1000)",7
"('16', 32, 1, 1000)","('8', 17, 1, 1000)",7
"('16', 33, 1, 1000)","('3', 1, 1, 1000)",8
"('16', 34, 1, 1000)","('8', 6, 1, 1000)",11
"('16', 35, 1, 1000)","('1', 13, 1, 1000)",12
"('16', 36, 1, 1000)","('8', 0, 1, 1000)",12
"('16', 38, 1, 1000)","('16', 6, 1, 1000)",12
"('16', 39, 1, 1000)","('16', 8, 1, 1000)",14
"('16', 40, 1, 1000)","('16', 5, 1, 1000)",14
"('16', 41, 1, 1000)","('16', 1, 1, 1000)",14
"('16', 42, 1, 1000)","('16', 4, 1, 1000)",14
"('16', 43, 1, 1000)","('16', 1, 1, 1000)",14
