partition,col,length,network
1,0,4,1
1,6,2,4
1,9,3,5
1,14,1,8
11,0,1,5
12,0,5,1
12,7,24,5
12,32,4,7
12,37,2,8
12,41,2,10
12,44,2,11
12,47,3,12
12,51,1,13
12,53,11,14
15,0,2,5
16,1,1,8
24,1,3,7
24,5,3,8
28,0,5,1
28,6,2,2
28,9,12,3
28,22,7,4
28,31,5,7
28,37,3,8
28,41,4,9
28,48,2,12
32,0,1,11
33,0,1,1
33,2,1,2
33,5,5,5
33,12,2,7
33,15,10,9
33,26,2,10
33,29,1,11
33,32,1,14
34,1,1,8
34,4,1,14
36,0,4,1
36,5,3,5
36,10,7,7
36,18,5,8
36,26,1,13
36,28,6,14
37,0,3,5
